,SecurityId,SecurityName,Accounts,BuyPriceType,BuyPrice,BuyPriceFactor,BuyVolume,SellPriceType,SellPrice,SellPriceFactor,SellVolume,Tag_A,Tag_B
0,s-600212,绿能慧充,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
1,s-603778,国晟科技,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
2,s-600679,上海凤凰,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
3,s-603767,中马传动,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
4,s-603825,华扬联众,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
5,s-600354,敦煌种业,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
6,s-603721,中广天择,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
7,s-600119,长江投资,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
8,s-600629,华建集团,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
9,s-605136,丽人丽妆,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
10,s-603666,亿嘉和,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
11,s-600551,时代出版,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
12,s-605001,威奥股份,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
13,s-603897,长城科技,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
14,s-688246,嘉和美康,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
15,s-688155,先惠技术,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
16,s-688257,新锐股份,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
17,s-688197,首药控股-U,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
18,s-605177,东亚药业,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
19,s-603685,晨丰科技,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
20,s-688383,新益昌,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
21,s-600727,鲁北化工,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
22,s-603610,麒盛科技,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
23,s-688103,国力股份,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
24,s-603421,鼎信通讯,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
25,s-600620,天宸股份,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
26,s-600805,悦达投资,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
27,s-688519,南亚新材,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
28,s-605169,洪通燃气,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
29,s-603332,苏州龙杰,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
30,s-688020,方邦股份,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
31,s-688260,昀冢科技,s-301000064197:10000,UpperLimitPrice,0,1,0,AnyPrice,0,1,0,A,B
